Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
2,41,1031,A,0,0,64,15,63,14,0,360,0,0,0,0,0,0,0,0,990,0
3,44,1031,A,0,0,13,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0
4,48,1031,A,0,0,28,4,27,4,0,0,0,0,0,0,0,0,0,0,990,0
6,48,1031,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48,1031,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,33,1032,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33,1032,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,33,1032,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,34,1032,A,0,0,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
6,34,1032,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,1033,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,39,1033,A,0,0,22,5,17,5,0,480,0,0,0,0,0,0,0,0,990,0
5,46,1033,A,0,0,25,7,20,5,0,0,0,0,0,0,0,0,0,0,1980,0
6,46,1033,A,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,49,1033,A,0,0,10,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0
0,5,1034,A,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,22,1035,A,0,0,10,4,10,4,0,0,0,0,0,100,0,0,0,0,0,0
1,23,1035,A,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,50,1036,A,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,51,1036,A,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2,55,1036,A,0,0,24,4,21,2,0,0,0,0,0,0,0,0,0,0,0,0
3,55,1036,A,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,55,1036,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,55,1036,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,60,1036,A,0,0,15,5,15,5,0,210,0,0,0,0,0,0,0,0,0,0
7,65,1036,A,0,0,16,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0
0,65,1037,A,0,0,19,9,17,9,0,0,0,0,0,0,0,0,0,0,0,0
1,66,1037,A,0,0,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
3,67,1037,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,70,1037,A,0,0,14,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
5,70,1037,A,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,75,1037,A,0,0,25,16,23,15,0,0,0,0,0,0,0,0,0,0,0,0
7,77,1037,A,0,0,12,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0
0,15,1038,A,0,0,8,8,5,5,0,0,0,0,0,0,0,0,0,0,1980,0
0,25,1039,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,27,1039,A,0,0,6,2,5,2,0,0,0,0,0,0,0,0,0,0,990,0
3,27,1039,A,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,990,0
4,27,1039,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,27,1039,A,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,27,1039,A,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,1039,A,0,0,7,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0
0,25,1040,A,0,0,45,12,44,12,0,0,0,0,0,100,0,0,0,0,0,0
1,52,1040,A,0,0,129,27,127,26,0,210,0,0,0,0,0,0,0,0,0,0
2,52,1040,A,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
3,53,1040,A,0,0,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
4,55,1040,A,0,0,12,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0
5,60,1040,A,0,0,38,5,31,3,0,360,0,0,0,0,0,0,0,0,990,0
6,63,1040,A,0,0,54,7,53,7,0,0,0,0,0,0,0,0,0,0,0,0
